baidu,百度
严明,严正
严容,厉色
严肃,严厉
严肃,严正
严刑,酷刑
严严实实,结结实实
严阵以待,盛食厉兵
严阵以待,枕戈待旦
严正,严明
严正,严肃
言不尽意,书不宣意
言不由衷,口是心非
言出法随,执法如山
言传身教,上行下效
言传身教,以身作则
言而不行,光说不练
言而不行,光说不做
言而不信,食言而肥
言归于好,破镜重圆
言过其实,夸大其词
言行不一,言行一致
言行举止,言谈举止
言行相诡,口是心非
言教,身教
言论,谈吐
言三语四,信口雌黄
言谈举止,言行举止
言听计从,百依百顺
言外之意,弦外之音
言笑,谈笑
言犹在耳,口血未干
言语无味,面目可憎
妍媸,美丑
岩穴,山洞
炎火,烈焰
炎热,酷热
炎天,夏天
沿门托钵,吹箫吴市
沿袭,因循
研究,研讨
研讨,研究
研讨,钻研
颜色,色彩
奄奄一息,岌岌可危
掩蔽,遮蔽
掩蔽,遮掩
掩藏,遮蔽
掩盖,袒护
掩盖,掩饰
掩护,保护
掩埋,埋葬
掩人耳目,欲盖弥彰
掩饰,粉饰
掩饰,掩盖
掩饰笼罩,掩盖
掩罪藏恶,文过饰非
眼光,目光
眼光,眼力
眼花,目炫
眼花,目眩
眼花撩乱,目迷五色
眼见,目睹
眼见,目击
眼力,目力眼光
眼力,眼光
眼帘,视线
眼前,面前
眼去眉来,眉目传情
眼生,眼熟
眼熟,眼生
眼珠,眸子
偃蹇困穷,命途坎坷
偃蹇困穷,命运坎坷
偃旗息鼓,消声匿迹
演变,演化
演出,表演
演出,上演
演化,演变
演练,练习训练
演武厅,检阅场
演艺界,演艺圈
演艺圈,演艺界
演绎,归纳
演奏,吹奏
厌恶,讨厌
厌烦,腻烦
厌旧喜新,喜新厌旧
厌弃,嫌弃
厌战,好战
艳服,盛装
艳羡,羡慕
宴客,请客
雁足传书,鱼雁不绝
餍饫,饱食
餍足,满足
燕服,便服
燕尾服,大礼服
燕徙,乔迁
燕语莺声,鸟语花香
赝品,假货
央求,恳求
央求条件,请求恳求
央央大度,宽洪大度
扬名,立名
扬弃,抛弃
扬琴,洋琴
扬声恶骂,破口大骂
扬汤止沸,负薪救火
扬汤止沸,救火投薪
扬扬得意,吐气扬眉
扬长避短,取长补短
扬长而去,拂袖而去
羊肠小道,曲折小路
羊毫,毛笔
羊质虎皮,绣花枕头
阳奉阴违,两面三刀
阳沟,阴沟
阳关三迭,骊歌高唱
阳间,阳世
阳间,阴间
阳世,阳间
阳文,阴文
洋火,火柴
洋火,磷寸
洋蜡,白蜡
洋琴,扬琴
洋溢,弥漫
洋芋,土豆
洋装,西服
仰给,仰食
仰面,抬头
仰面朝天,四脚朝天
仰慕,敬慕
仰人鼻息,寄人篱下
仰人鼻息,举夺由人
仰食,仰给
仰视,俯视
仰头,抬头
仰望,仰视
仰望,瞻仰
仰药,服毒
养成工,练习生
养分,营养
养虎伤身,养痈遗患
养虎遗患,放龙入海
养虎遗患,姑息养奸
养活,赡养
养精蓄锐,休养生息
养生,摄生
养痈成患,养虎遗患
养痈遗患,养痈成患
怏怏不乐,洋洋得意
样式,款式
样子,模样
样子容貌,模样
吆喝,呼喊
妖怪,魔鬼
妖言惑众,诡辞欺世
妖冶,明媚
妖装,盛饰
腰缠万贯,身无分文
邀请,约请
侥幸,幸运
殽杂,混淆
谣传,讹传
谣言,谎言
谣言,流言
摇摆,扭捏
摇摆,摇晃
摇荡,摇摆
摇荡,摇曳
摇动,动摇
摇晃,摇摆
摇钱树,钱树子
摇头摆尾,摇头晃脑
摇头晃脑,摇头摆尾
摇尾乞怜,乞哀告怜
摇摇摆摆,摇摇晃晃
摇摇欲坠,岌岌可危
摇曳,摇摆
遥不可及,高不可攀
遥望,眺望
遥相呼应,鞭长莫及
遥想,遐想
遥远,悠远
瑶池,仙境
杳如黄鹤,海底捞针
杳如黄鹤,去如黄鹤
杳无音信,泥牛入海
杳无音信,石沉大海
杳杳无踪,鸿飞冥冥
咬文嚼字,句斟字嚼
咬牙切齿,怒目切齿
药到病除,华陀再世
药到回春,妙手回春
药剂师,配药师
药石之言,针砭之语
要冲,冲要
要地本地,腹地
要地本地,内地
要地本地,内陆
要害,关键
要挟,威胁
要津,枢路
要领,方法
要么,要末
要末,要么
要求,请求
要是,如果
鹞子,风筝
耀武扬威,张牙舞爪
耀眼,刺眼
揶揄,嘲弄
也成,同样成
也可以,也能够
也许,或许
冶坊,炼坊
冶艳,浓艳
冶游,嫖妓
野鹤闲云,山林隐士
野猎,田猎
野蛮,蛮横
野史,别史
野史,正史
野心勃勃,狼子野心
业绩,事迹
业务,营业
业余,专业
叶落归根,饮水思源
夜班,日班
夜半,半夜
夜阑人静,更深人静
夜消,夜宵
夜宵,夜消
夜以继日,通宵达旦
腋臭,狐臭
一、,1、
一败涂地,狼奔豕突
一败涂地,一蹶不振
一般,普通
一般人,常人
一般是,通常为
一般为,通常是
一板一眼,有板有眼
一辈子,一生
一本正经,道貌岸然
一壁,一面
一臂之力,落井下石
一步登天,平步青云
一唱一和,遥相呼应
一尘不染,明哲保身
一尘不染,一干二净
一尘不染,一乾二净
一成不变,原封不动
一筹莫展,束手无策
一触即发,剑拔弩张
一槌定音,一锤定音
一锤定音,一槌定音
一蹴而就,一挥而就
一寸光阴一寸金,一刻千金
一代风流,遗臭万年
一刀两断,快刀斩乱麻
一刀两断,薪尽火灭
一得之愚,一孔之见
一点不错,分毫不爽
一定,必定
一定,必然
一帆风顺,风平浪静
一帆风顺,好事多磨
一概而论,混为一谈
一干二净,一尘不染
一个钱打二十四个结,精打细算
一古脑儿,一股脑儿
一股脑儿,一古脑儿
一贯,一向
一呼百诺,前呼后拥
一呼百应,一呼百诺
一挥而就,一蹴而就
一技之长,一无所长
一见倾心,一见钟情
一箭双雕,一举两得
一箭双鵰,两全其美
一举成名,一鸣惊人
一举而竟全功,毕其功于一役
一举两得,一箭双雕
一蹶不振,萎靡不振
一孔之见,一知半解
一口咬定,矢口不移
一块儿,一起
一览无余,尽收眼底
一览无余,一目了然
一劳永逸,与日俱增
一了百了,依然如故
一连,连续
一鳞半爪,片纸只字
一路顺风,一帆风顺
一落千丈,江河日下
一落千丈,一泻千里
一律,一概
一马当先,身先士卒
一马平川,一望无际
一毛不拔,爱财如命
一名,一位
一命呜呼,与世长辞
一模一样,如出一辙
一目了然,了如指掌
一目十行,目下十行
一男半女,寸男尺女
一贫如洗,一无所有
一起,一路
一起,一同
一气呵成,趁热打铁
一钱不受,分文不取
一乾二净,六根清净
一窍不通,一无所知
一清二楚,一览无余
一穷二白,一贫如洗
一丘之貉,半斤八两
一丘之貉,难兄难弟
一丘之貉,全无分别
一人传虚;万人传实,道听途说
一人得道,鸡犬升天
一日千里,进步神速
一日三餐,每日三餐
一如既往,自始自终
一扫而光,一扫而空
一扫而光,一网打尽
一扫而空,一网打尽
一生,平生
一生,终身
一声不响,一言不发
一石二鸟,一举两得
一时哄动,哄传一时
一矢之地,弹丸之地
一视同仁,等量齐观
一视同仁,厚此薄彼
一丝不动,纹丝不动
一塌糊涂,乌烟瘴气
一统天下,金瓯无缺
一晚上,一夜
一网打尽,一扫而光
一往无前,勇往直前
一往直前,百折不回
一望无际,一马平川
一位,一名
一无可取,一无是处
一无是处,一无可取
一无所得,一无所获
一无所获,一无所得
一无所取,一无是处
一无所知,全无所闻
一无所知,一窍不通
一无长物,别无长物
一五一十,如数家珍
一误再误,将错就错
一下子,一会儿
一相情愿,两相情愿
一向,一贯
一笑置之,付之一笑
一泻千里,一落千丈
一心,二心
一心,同心专心
一言半语,千言万语
一言九鼎,出言如山
一言为定,说一是一
一样平常,日常
一样平常,一般
一叶知秋,尝鼎一?
一叶知秋,尝鼎一
一一,逐个
一一,逐一
一意孤行,独断专行
一意孤行,独行其是
一拥而上,蜂拥而上
一拥而上,蜂拥而至
一语道破,画龙点睛
一语道破,提纲挈领
一语而解,片言立决
一再,几回再三
一张一弛,以逸待劳
一针见血,提纲契领
一针见血,言必有中
一枕黄粱,南柯一梦
一枝独秀,桂林一枝
一直,不断
一直,一向
一致,分歧
一掷千金,挥金如土
伊于胡底,如何了局
衣冠禽兽,沐猴而冠
衣冠禽兽,人面兽心
衣衿,衣襟
衣襟,衣衿
衣锦还乡,背井离乡
衣衫褴褛,衣冠楚楚
衣食计,稻粱谋
衣饰,服饰
衣着,穿着
医生,大夫
医院,病院
医治,治疗
依次,顺次
依从,允从
依附,凭借
依附,依靠
依附,倚赖
依旧,照旧
依据,根据
依靠,依附
依靠,依托
依赖,依附
依赖,依靠
依恋,迷恋
依然,仍然
依然如故,荡然无存
依人篱下,为人作嫁
依顺,违拗
依稀,模糊
依依不舍,恋恋不舍
依照,按照
依照,遵照
仪式,典礼
夷狄,蛮夷
夷易,平易
夷由,犹豫
怡然自得,悠然自得
宜人,恼人
贻害不浅,害人不浅
贻笑大方,见笑于人
姨妈,阿姨
胰子,肥皂
移船就磡,移樽就教
移动,挪动
移多补少,截长补短
移花接木,偷梁换柱
移祸,嫁祸
移樽就教,移船就础
移樽就教,移船就础?
遗记,忘记
遗迹,遗址
遗漏,漏掉
遗漏,脱漏
遗弃,抛弃
遗体,尸体
遗言,绝笔
遗言,遗嘱
遗愿,遗言
遗嘱,遗言
颐养,保养
疑惑,困惑
疑惑,迷惑
疑惑不解,迷惑不解
疑难,疑问
疑神疑鬼,捕风捉影
疑心,狐疑
疑心,怀疑
已经,曾经
已经,已
已是,已经是
已往,过去
以避免,以免
以讹传讹,耳食之言
以管窥天,坐井观天
以后,当前
以后,今后
以及,和
以邻为壑,嫁祸他人
以邻为壑,嫁祸于人
以免,以避免
以内,之内
以其人之道;还治其人之身,以眼还眼
以前,之前
以身试法,知法犯法
以是,所以
以手加额,额手称庆
以外,之外
以为,觉得
以为,认为
以牙还牙,以眼还眼
以怨报德,恩将仇报
以至,以致
以致,乃至
以致,致使
义不容辞,当仁不让
义不容辞,责无旁贷
义愤填膺,满腔怒火
义父,寄父
义军,义兵
义军,义师
义师,义军
义士,烈士
义无反顾,义无返顾
义无返顾,义无反顾
义务,责任
义正词严,理直气壮
义正辞严,理直气壮
义冢,公墓
议决,经过议定
议论,群情
议论,谈论
议论文,论说文
屹立,矗立
屹立,耸峙
屹立,挺立
屹然,耸然
异邦,番邦
异彩纷呈,奇光异彩
异端邪说,妖言惑众
异化,同化
异景,奇观
异口同声,众口一词
异乡,他乡
异想天开,想入非非
异样,异常
异议,贰言
异族,外族
抑低,贬抑
抑扬,顿挫
抑止,遏止
抑制,按捺
抑制,克制
呓语,梦话
役夫,夫子
译员,舌人
易服,换衣
易患,易得
易如反掌,轻而易举
轶群,超群
奕棋,对奕
益处,好处
谊母,干娘
逸群绝俗,超群脱俗
逸事,逸闻
翌日,来日诰日
意得志满,踌躇满志
意会,领悟
意见,定见
意见,看法
意见意义,趣味
意料,料想
意料,预料
意气风发,斗志昂扬
意气相合,气味相合
意气相合,气味相投
意气消沉,心灰意冷
意气扬扬,洋洋得意
意识,认识
意识到,意想到
意外,不测
意味深长,语重心长
意愿,志愿
毅然,决然
毅然决然,当机立断
臆测,揣测
臆则屡中,料事如神
因此,是以
因此,因而
因地制宜,量体裁衣
因地制宜,随机应变
因而,因此
因祸得福,塞翁失马
因利乘便,顺水推舟
因势利导,顺手推舟
因势利导,顺水推舟
因素,身分
因素,要素
因为,由于
因循,沿袭
因循自误,过后行兵
因噎废食,剖腹藏珠
因由,来由
因由,起因
因缘,人缘
阴碍,妨碍
阴暗,昏暗
阴暗,阴晦
阴差阳错,鬼使神差
阴沉,阴森
阴沟,暗沟
阴沟,阳沟
阴间,阳间
阴谋,诡计
阴谋诡计,诡计多端
阴谋诡计,鬼域伎俩
阴森,阴沉
阴森森,黑沉沉
阴文,阳文
阴阳怪气,古里古怪
阴影,暗影
阴郁,阴霾
荫庇,庇荫
荫蔽,隐蔽
音律,乐律
音调,腔调
音调,声调
音调,调子
音讯,消息
殷勤,周到
银白,雪白
银号,钱庄
淫乱,***
淫雨,霪雨
夤缘,趋奉
霪雨,淫雨
引车卖浆,贩夫走卒
引导,引诱
引导,指导
引动,哄动
引发,激发
引港,领港
引火烧身,惹火烧身
引火线,导火线
引荐,举荐
引经据典,旁征博引
引颈就戮,束身待罪
引狼入室,开门揖盗
引路,带路
引起,惹起
引起,引发
引人,惹人
引人入胜,令人着迷
引人注目,有目共睹
引申,引伸
引伸,引申
引用,援用
引诱,勾引
引诱,引导
引诱,诱惑
饮茶,吃茶品茗
饮酒,喝酒
饮马投钱,贪污舞弊
饮泣吞声,忍气吞声
饮水思源,叶落归根
饮鸩止渴,牵萝补屋
饮鸩止渴,杀鸡取卵
隐蔽,荫蔽
隐蔽,隐藏
隐藏,埋没
隐藏,潜藏
隐藏,隐蔽
隐恶扬善,遏恶扬善
隐讳,忌讳
隐没,消失
隐秘,隐蔽
隐匿,藏匿
隐忍,哑忍
隐射,影射
隐士,蓬菖人
隐士,山人
隐隐,隐约
隐隐约约,模模糊糊
隐语,切口
隐约,模糊
隐衷,隐私
印子钱,高利贷
英豪,英雄
英华,精华
英魂,英灵
英俊,漂亮
英灵,英魂
英明,贤明
英气,豪气
英武,威武
英雄,豪杰
英雄仗义,豪侠好义
英勇,勇敢
英姿飒爽,意气风发
莺啼燕语,鸟语花香
鹦鹉学舌,拾人牙慧
鹰犬,帮凶
鹰视,虎睨
迎风,顶风
迎合,逢迎
迎合,投合
迎刃而解,水到渠成
盈余,红利
营建,修建
营救,救援
营垒,堡垒
营垒,阵营
营生,谋生
营私舞弊,假公济私
营养,养分
营造,营建
萦绕,缭绕
赢得,博得
赢利,获利
赢利,赚钱
赢余,盈余
颖慧,颖悟
颖悟,颖慧
影射,暗射
影戏,电影
影象,记忆
影像,影象
应酬,应付
应答,应对
应当,该当
应当,应该
应付,敷衍
应付裕如,应付自如
应付自如,应付裕如
应该,应当
应机立断,当机立断
应接不暇,目不暇接
应命,报命
应声,回声
应用,利用
应用,使用
应用,运用
应有尽有,包罗万象
映衬,映托
映射,映照
硬邦邦,硬梆梆
硬梆梆,硬邦邦
硬朗,结实
佣钿,回佣
佣人,仆人
拥戴,推戴
拥戴,拥护
拥护,反对
拥护,拥戴
拥挤,拥堵
拥塞,堵塞
拥有,具有
庸人自扰,杞人忧天
庸俗,俗气
庸庸碌碌,大有作为
庸庸碌碌,栗六庸才
壅闭,阻塞
壅塞,阻塞
臃肿,痴肥
永别,永诀
永恒,永久
永劫,长时
永久,永世
永久,永远
永日,长日
永生,长生
永世,永久
永夜,长夜
永远,永久
永远贬抑,不再任用
勇敢,大胆
勇敢,英勇
勇猛,骁勇
勇猛,英勇
勇士,懦夫
勇往直前,一往无前
涌现,出现
踊跃,积极
用场,用处
用处,用途
用度,费用
用饭,吃饭
用具,器具
用途,用处
用心,居心
用心,专心
用意,意图
优点,长处
优良,良好
优良,优秀
优劣,好坏
优美,美好
优美,美丽
优美,幽美
优柔寡断,犹豫不决
优胜,优越
优势,上风
优秀,优良
优秀,优异
优异,优良
优越,优胜
优质,优良
忧愁,忧虑
忧愁,忧闷
忧国忧民,伤时感事
忧惧,恐忧
忧虑,忧愁
忧伤,哀伤
忧心忡忡,内心不安
忧心如捣,忧心忡忡
忧心如捣,忧心如焚
忧郁,愁闷
忧郁,郁闷
幽暗,阴暗
幽谷,深谷
幽禁,软禁
幽静,安静
幽静,清幽
幽灵,鬼魂
幽美,优美
幽美,幽丽
幽默,滑稽
幽默,诙谐
幽深,幽静
幽深,幽邃
幽邃,幽深
幽香,清香
悠久,悠长
悠然自得,怡然自得
悠闲,安闲
悠闲,落拓
悠扬,婉转
悠长,悠久
尤其,特别
尤为,尤其
尤物,美人
由此可见,因而可知
由由然,飘飘然
由于,因为
犹如,如同
犹豫,迟疑
犹豫,踌躇
犹豫,犹疑
犹豫不决,优柔寡断
油滑,世故
油滑,圆滑
油腻,清淡
油腔滑调,嘻皮笑脸
油腔滑调,油嘴滑舌
油头滑脑,油嘴滑舌
油嘴滑舌,油腔滑调
油嘴滑舌,油头滑脑
游荡,浪荡
游记,纪行
游客,旅客
游览,旅游
游刃有余,熟能生巧
游玩,玩耍
游戏人间,逢场作戏
游泳,泅水
游勇,浪人
友爱,和睦
友爱,交情
友爱,友好
友邦,盟国
友好,敌对
友好,友爱
友情,友谊
友谊,友情
有板有眼,有声有色
有备无患,未雨绸缪
有方,无方
有夫之妇,罗敷有夫
有害,无害
有机,无机
有机可乘,有隙可乘
有口难言,百辞莫辩
有愧,无愧
有力,无力
有利,有益
有良心,不忘本
有没有,有无
有名,着名
有名,著名
有名无实,名存实亡
有年,丰年
有气无力,精神焕发
有情,无情
有趣,风趣
有缺,出缺
有伤风化,伤风败俗
有身,怀孕
有声有色,有条有理
有失体统,不成体统
有始有终,好头不如好尾
有恃无恐,有备无患
有数,无数
有数,稀有
有所顾忌,投鼠忌器
有条有理,头头是道
有头无尾,虎头蛇尾
有头有尾,自始自终
有望,无望
有为,无为
有无,有没有
有限,无限
有效,无效
有效,有用
有形,无形
有益,无益
有意,成心
有意识,无意识
有勇无谋,智勇双全
有用,有效
有余,不足
莠民,败类
黝黑,漆黑
黝黑,乌黑
又名,别名
右边,右侧
右边,左边
右侧,右边
右面,左面
右派,左派
右首,左首
右翼,左翼
幼年,年少
幼年,少小
幼童,小童
幼稚,老练
幼子,季子
诱导,引诱
诱饵,钓饵
诱发,引发
诱惑,引诱
诱骗,拐骗
诱骗,欺骗
迂腐,陈腐
迂回曲折,转弯抹角
于归之喜,出阁之喜
于是,因而
余存,孑遗
余晖,余辉
余辉,余晖
鱼鼓,渔鼓
鱼具,渔具
鱼目混珠,滥竽充数
鱼死网破,你死我活
鱼网,渔网
鱼汛,渔汛
鱼雁不绝,雁足传书
娱乐,文娱
娱乐界,娱乐圈
娱乐圈,娱乐界
渔鼓,鱼鼓
渔具,鱼具
渔网,鱼网
渔汛,鱼汛
揄扬,吹嘘
喁喁私语,切切私语
喁喁细语,咕咕唧唧
逾额,超额
逾期,过期
逾越,超越
逾越,跨越
腴膏,膏腴
愉快,高兴
愉快,兴奋
愉逸,安乐
愚笨,愚蠢
愚蠢,笨拙
愚蠢,愚笨
愚蠢,愚昧
愚钝,痴顽
愚见,鄙意
愚昧,愚笨
愚昧,愚蠢
愚弄,捉弄
愚人,哲人
愚拙,呆笨
舆论,言论
舆图,地图
舆志,地志
与会,预会
与你何关,干卿底事
与日俱增,日积月累
与日俱增,一日千里
与闻,预闻
与众不同,不同凡响
与众不同,异乎寻常
宇量,气量
羽缎,哔叽
羽化,成仙
羽觞,酒杯
羽士,道士
羽书,军书
雨季,旱季
语调,腔调
语言,说话
语言,言语
语重心长,苦口婆心
玉帛,财宝
玉成,成全
玉轮,月亮
玉人,美女
玉山颓倒,烂醉如泥
玉石同烬,兰艾俱焚
玉体,贵体
玉液琼浆,金樽旨酒
驭手,御手
郁勃,兴盛
郁闷,愁闷
郁悒,愁闷
郁郁不乐,闷闷不乐
郁郁葱葱,生气勃勃
郁郁寡欢,闷闷不乐
浴池,混堂
预报,预告
预备,豫备
预备,准备
预测,猜测
预测,展望
预付,预支
预感,预见
预会,与会
预计,估计
预见,预感
预料,意料
预料,预感
预赛,初赛
预闻,与闻
预先,事后
预想,料想
预言家,先觉
预约,预定
预兆,前兆
预支,预付
欲罢不能,不能自休
欲罢不能,骑虎难下
欲盖弥彰,此地无银三百两
欲速不达,一蹴而就
欲望,愿望
欲言又止,半吐半吞
遇到,碰到
遇见,碰见
遇人不淑,所嫁非人
遇上,赶上
遇险,脱险
御手,驭手
御医,太医
寓居,居住
寓目,观看
寓所,居所
寓意,寄意
愈加,越发
愈来愈,越来越
愈甚,更甚
豫备,预备
鹬蚌相争;渔翁得利,坐山观虎斗
冤仇,仇恨
冤家路窄,狭路相逢
冤屈,委屈
渊博,赅博
渊博,广博
元朝,元代
元代,元朝
元旦,除夕
元煤,原煤
元配,德配
元凶,首恶
元勋,功臣
园地,场地
园丁,花匠
原本,本来
原告,被告
原籍,客籍
原来,本来
原理,道理
原谅,谅解
原煤,元煤
原先,本来
原形,本相
原形,真相
原形毕露,暴露无遗
原野,田野
原因,缘由
原由,缘由
原有的,原本的
原则,准绳
原址,旧址
圆滑,油滑
圆满,美满
圆通,光滑油滑
援救,搭救
援救,拯救
援军,救兵
援引,援用
援引,征引
援用,引用
援用,援引
援助,支援
缘故,原因
缘故原由,原因
缘木求鱼,刻舟求剑
缘由,启事
源头,泉源
源源不绝,绵绵不断
源源而来,滔滔而至
源远流长,积厚流光
远程,近程
远程,长途
远大,弘远
远而避之,退避三舍
远海,近海
远见卓识,真知灼见
远郊,近郊
远景,近景
远景,前景
远离,阔别
远亲,近亲
远视,近视
远望,了望
远因,近因
远足,郊游
怨愤,愤懑
怨恨,仇恨
怨嗟,叹恨
怨气冲天,牢骚满腹
怨天恨地,怨天尤人
怨天尤人,自怨自艾
怨言,牢骚
怨尤,怨恨
愿望,欲望
愿意,情愿
约定,商定
约莫,大约
约请,聘请
约请,邀请
约束,束缚
月白风清,清风明月
月晦,月终
月老祠,撮合山
月食,月蚀
月蚀,月食
月朔,初一
月尾,月底
月下花前,春花秋月
月下花前,花前月下
月牙,新月
月芽,月牙
阅读,浏览
阅历,经历
悦耳,动听
悦目,好看
悦目,顺眼
跃然纸上,呼之欲出
跃跃欲动,见猎心喜
跃跃欲试,伎痒
跃跃欲试,摩拳擦掌
越发,更加
越过,超出
越来越,愈来愈
越权代理,尸祝代庖
越日,次日
越狱,逃狱
晕头转向,蒙头转向
云豆,芸豆
云雾迷蒙,云雾弥漫
云消雾散,烟消云散
云云,如此
匀称,均匀
芸豆,云豆
允承,慨诺
允从,依从
允诺,承诺
允诺,许诺
允许,答应
允许,许可
陨落,殒落
殒落,陨落
殒命,死亡
孕妇,妊妇
孕育发生,产生
运动,活动
运动场,体育场
运行,运转
运气,命运
运气,命运运限
运送,输送
运用,应用
韵事,佳话
韵味,神韵
蕴藏,储藏
蕴含,包含
蕴藉,含蓄
蕴蓄,积聚
杂居,混居
杂乱,混乱
杂乱,芜杂
杂念,邪念
杂色,正色
杂事,琐事
杂税,冗赋
杂沓,杂遝
杂遝,杂沓
杂务,庶务
杂务,琐务
灾害,灾祸
灾害,灾难
灾患丛生,祸不单行
灾祸,灾害
灾祸,灾难
灾黎,难民
灾民,哀鸿
灾民,流民
灾难,灾害
仔细,细心
载歌载舞,手舞足蹈
宰割,分割
宰衡,首相
再版,重版
再见,再会
再醮,改嫁
再接再厉,再接再砺
再接再砺,再接再厉
再起,复兴
再娶,另娶
再三告诫,三令五申
再也不,不再
再造之恩,二天之德
在朝,在野
在朝,执政
在行,外行
在乎,在意
在即,期近
在劫难逃,在所难免
在世,活着
在他们眼里,在他们看来
在他眼里,在他看来
在她眼里,在她看来
在逃,在押
在我眼里,在我看来
在下,鄙人
在押,在逃
在意,在乎
在职,退职
在坐,在座
在座,在坐
咱们,我们
暂时,临时
暂休,少憩
赞不绝口,拍案叫绝
赞成,同意
赞成,赞同
赞美,歌颂
赞美,嘉赞
赞美,赞扬
赞美,赞誉
赞赏,赞美
赞颂,称颂
赞颂,赞美
赞颂,赞扬
赞叹,赞赏
赞叹,赞叹
赞叹不已,赞不绝口
赞同,附和
赞同,赞成
赞同,赞许
赞许,赞成
赞扬,赞美
赞扬,赞赏
赞助,援助
赞助,资助
葬送,断送
遭逢,遭遇
遭受,蒙受
遭受,遭遇
遭遇,遭受
遭灾,罹难
糟糕,蹩脚
糟糕,糟
糟践,糟蹋
糟糠,荆布
糟塌,糟踏
糟踏,糟塌
糟蹋,摧残浪费蹂躏
糟蹋,浪费
糟蹋,糟践
早安,晨安
早餐,早饭
早场,夜场
早晨,凌晨
早晨,晚上
早春,初春
早饭,早餐
早婚,晚婚
早期,初期
早期,晚期
早起,夙起
早起,夙兴
早退,迟到
早晚,迟早
早晚,日夕
早霞,朝霞
早先,起初
早先,新近
造成,形成
造成的,酿成的
造次,冒昧
造访,拜访
造访,访问
造就,培养
造型,外型
造谣,辟谣
造谣生事,构词惑众
造诣,成就
造诣高深,升堂入室
造作,做作
噪音,乐音
责备,求全
责备,责怪
责备,指摘
责怪,责备
责怪,指责
责骂,叱骂
责难,非难
责任,义务
责无旁贷,义不容辞
择要,摘要
齰舌,惊叹
怎么,怎样
怎么样,怎样
怎样,如何
怎知,安知
增补,补充
增产,减产
增加,添加
增加,增添
增加,增长
增进,促进
增强,加强
增色,减色
增添,增加
增员,减员
增援,声援
增援,支援
增长,增加
增长,增进
憎称,爱称
憎恶,憎恨
憎恨,仇恨
憎恨,憎恶
赠送,赠予
赠医,施医
扎脚,裹足
扎眼,刺眼
扎营,安营
渣滓,残余
乍寒乍热,忽冷忽热
诈财,骗财
诈骗,欺骗
炸药,火药
宅券,房契
宅忧,居丧
宅忧,居忧
宅兆,坟墓
债户,债主
债权,债务
债务,债权
债主,借主
沾恩,受惠
沾光,叨光
沾花惹草,招蜂引蝶
沾染,感染
沾沾自喜,洋洋得意
沾沾自喜,自鸣得意
粘稠,黏稠
粘稠,稀薄
粘糊,黏糊
粘土,黏土
粘性,粘性
粘液,黏液
瞻前顾后,左顾右盼
瞻望,展望
瞻仰,企盼
瞻仰,仰视
瞻仰,仰望
斩柴,伐木
斩新,崭新
展开,睁开
展览场,陈列所
展览会,博览会
展示,展现
展望,瞻望
展现,揭示
展现,显现
展现,展示
展转,辗转
崭露锋芒,显露头角
崭露锋芒,崭露头角
崭新,簇新
崭新,极新
辗转,展转
占据,占领
占据,占有
占领,占据
占有,据有
占有,占领
战败,战胜
战场,疆场
战斗,战役
战功,军功
战火,烽火
战栗,颤栗
战略,计谋
战胜,打败
战胜,克服
战士,兵士
战死沙场,马革裹尸
战无不胜,望风披靡
战线,阵线
战役,战斗
战役,战争
战云浓密,鼙鼓雷鸣
战战兢兢,小心翼翼
战争,和平
战争,战斗
绽开,绽放
张皇,慌张
张惶,张皇
张口结舌,瞠目结舌
张罗,筹措
张望,观望
张牙舞爪,耀武扬威
张扬,声张
獐头鼠目,蛇头鼠眼
彰明较着,明白昭彰
蟑螂,甲由
长辈,晚辈
长辈,尊长
长处,利益
长处,所长
长处,甜头
长处,优点
长此以往,久而久之
长短,是非
长短不一,犬牙交错
长官,主座
长进,出息
长进,上进
长久,持久
长久,久长
长空,漫空
长眠,长逝
长命,龟龄
长命,长寿
长命百岁,天保九如
长年,常年
长年,终年
长年累月,天长日久
长跑,短跑
长篇累牍,言简意赅
长期,持久
长期,恒久
长期,历久
长期,临时
长期,长时间
长枪,蛇矛
长驱直入,当者披靡
长驱直入,势如破竹
长日,永日
长生,永生
长逝,长眠
长寿,短命
长寿,长命
长途,远程
长袖善舞,多财善贾
长吁,浩叹
长吁短叹,对天长叹
长夜,永夜
长于,善于
长于,擅长
长远,久远
长子,宗子
涨潮,退潮
涨价,跌价
掌上河山,尺幅千里
掌握,把握
掌握,控制
掌珠,令嫒
丈量,测量
仗势欺人,狐假虎威
帐本,账本
账本,帐本
障碍,妨碍
招安,招抚
招标,投标
招待,接待
招待,款待
招抚,弹压
招抚,招安
招供,供认
招呼,号召
招呼,召唤
招集,召集
招架,抵挡
招考,应考
招徕,兜揽
招揽,招徕
招聘,雇用
招认,供认
招摇撞骗,冒名行骗
招展,飘扬
招招手,挥挥手
昭示,明示
昭雪,平反
爪牙,帮凶
爪牙,虎伥
找事,谋事
沼泽,池沼
召唤,呼唤
召唤,理睬呼唤
召募,募集
召盘,出顶
诏书,圣旨
照常,照旧
照拂,垂问咨询人
照功行赏,论功行赏
照顾,赐顾帮衬
照顾,照料
照顾护士,护理
照管,看管
照旧,还是
照例,按例
照料,顾问
照料,照顾
照射,照耀
照相,拍照
照像,照相
照耀,晖映
照耀,照射
照应,照顾
照映,辉映
肇始,起始
肇事,闯祸
肇事,闯事
肇事,惹祸
